Text,Sentiment,Emotions,translated_text,Justification
होता होता राहीलेला निवडणूक मारो मर्ज़ीभई,0,Neutral,"The election that was held was a draw, Marjibhai.",The sentence is neutral as it discusses elections but lacks any strong emotional words.
वेडाबाई भूतकाळ बघ लोक शेन घालतात आणी दांडा ही,0,Neutral,"Crazy lady, look at the past, people wear masks and stick to it.","The phrase ""शेन घालतात"" (people spread dirt/muck) is figurative but lacks strong emotion."
"साहेब भाजपा, गोदी मिडीया, अंधभक्त साठी परिवारवाद लागू होत नाही",0,Neutral,"Sir, family politics does not apply to BJP, Godi Media, and fanatics.","The words ""अंधभक्त"" (blind devotees) suggest sarcasm, but the sentence remains neutral."
एकवेळ मला काही देउ नका । पण शानपट्टी देऊन मला जाऊ नका ॥,-1,Anger,Don't give me anything at once. But don't leave me without giving me a reward.,"The phrase ""शानपट्टी देऊन मला जाऊ नका"" (don’t let me go without dignity) expresses frustration, leading to anger."
हा त्यांचा नैतिक विजयच आहे कारण समोर सत्तेसाठी जमलेले महत्वकांक्षी राक्षस उभे होते.,0,Neutral,This is their moral victory because in front of them stood ambitious monsters gathered for power.,"The phrase ""महत्वकांक्षी राक्षस"" (ambitious monsters) is figurative but lacks strong sentiment."
आता हे वसुली करणारे वित्तमंत्र्यांना फायनांस विषयात बोलणार….कमाल आहे बुवा तुमची!,1,Joy,Now these collectors will talk to the Finance Minister about finance...you are amazing!,"The phrase ""कमाल आहे बुवा तुमची!"" (Amazing, you guys!) suggests sarcasm, but it can be interpreted as joyful mockery."
बस घाण करणारयाना द्यायला बर पडल असत नाही,-1,Disgust,It wouldn't be good to give it to someone who makes the bus dirty.,"The phrase ""घाण करणारयाना"" (those who make things dirty) implies disgust towards unhygienic behavior."
असा आपण भाबडा समज करून घ्यायचा,0,Neutral,We should have made such a foolish assumption.,"The phrase ""भाबडा समज"" (naive assumption) suggests a lack of awareness but no strong emotion."
भाजप हद्दपार होत आहे...,-1,Anger,BJP is being expelled...,"The phrase ""हद्दपार होत आहे"" (being expelled) conveys frustration and anger."
म्हणून सांगतो पाव खा पण भाव खाऊ नका...,0,Neutral,That's why I say eat bread but don't eat the price...,"The phrase ""भाव खाऊ नका"" (don't show off) is advisory and does not indicate strong emotion."
