Text,Sentiment,Emotions,translated_text,Justification
खरा लखोबा तर हा बोबडाच आहे,0,Neutral,The real Lakhoba is this Bobada.,"The word ""बोबडाच"" (stammering) suggests mild criticism but does not strongly indicate a specific emotion."
मुंबईतील घाटकोपरमध्ये धुळवड खेळून घरी परतलेलं दाम्पत्य बाथरुममध्ये मृतावस्थेत आढळलं!,-1,Disgust,"A couple who returned home after playing Dhulwad in Ghatkopar, Mumbai, was found dead in the bathroom!","The words ""मृतावस्थेत"" (dead) and ""बाथरुममध्ये"" (in the bathroom) create a disturbing and unpleasant image, leading to disgust."
वेडाबाई भूतकाळ बघ लोक शेन घालतात आणी दांडा ही,0,Neutral,"Crazy lady, look at the past, people wear masks and stick to it.","The phrase ""शेन घालतात"" (people spread dirt/muck) is figurative but lacks strong emotion."
कुर्ला वाहतुक विभागाला फक्त हे पाठवले जाते पण कधी कारवाई होत नाही,0,Neutral,Only this is sent to Kurla Transport Department but no action is ever taken.,The sentence talks about inaction but does not express strong emotions explicitly.
"साहेब भाजपा, गोदी मिडीया, अंधभक्त साठी परिवारवाद लागू होत नाही",0,Neutral,"Sir, family politics does not apply to BJP, Godi Media, and fanatics.","The words ""अंधभक्त"" (blind devotees) suggest sarcasm, but the sentence remains neutral."
चित्रा ताई वाघ आणि आपण शिंदे गट काडीचीही किंमत नाही ट्विट ला,0,Neutral,"Chitra Tai Wagh and we Shinde group are not worth even a penny, tweet.","The phrase ""काडीचीही किंमत नाही"" (not worth even a penny) is dismissive but not highly emotional."
हा त्यांचा नैतिक विजयच आहे कारण समोर सत्तेसाठी जमलेले महत्वकांक्षी राक्षस उभे होते.,0,Neutral,This is their moral victory because in front of them stood ambitious monsters gathered for power.,"The phrase ""महत्वकांक्षी राक्षस"" (ambitious monsters) is figurative but lacks strong sentiment."
बस घाण करणारयाना द्यायला बर पडल असत नाही,-1,Disgust,It wouldn't be good to give it to someone who makes the bus dirty.,"The phrase ""घाण करणारयाना"" (those who make things dirty) implies disgust towards unhygienic behavior."
असा आपण भाबडा समज करून घ्यायचा,0,Neutral,We should have made such a foolish assumption.,"The phrase ""भाबडा समज"" (naive assumption) suggests a lack of awareness but no strong emotion."
भाजप हद्दपार होत आहे...,-1,Anger,BJP is being expelled...,"The phrase ""हद्दपार होत आहे"" (being expelled) conveys frustration and anger."
कोण मेला ? वारला म्हणायचं आहे का तुम्हाला ? रोजगार वारला का ?,-1,Sadness,Who died? Do you mean died? Did employment die?,"The phrase ""रोजगार वारला"" (employment is dead) evokes sadness and concern about job losses."
आंदोलन करणे हाच उपाय आहे का त्याशिवाल न्याय मिळणार नाही का???,-1,Anger,Is protesting the only solution? Won't justice be achieved?,"The phrase ""हाच उपाय आहे का?"" (Is this the only way?) questions justice aggressively, leading to anger."
नाटक करूनही सहानुभूती नाही मिळणार,0,Neutral,"Even if you act, you won't get sympathy.","The phrase ""सहानुभूती नाही मिळणार"" (won't get sympathy) is dismissive but lacks emotion."
"अक्कल नको पाजळू तुझी, हिंदू सणं डोळ्यात खूपतात का तुझ्या ?",-1,Anger,"Don't show off your intelligence, do Hindu festivals bother you?","The phrase ""अक्कल नको पाजळू"" (don't show off intelligence) expresses frustration, while ""डोळ्यात खूपतात"" (bother your eyes) adds confrontation."
आंदोलन करणे हाच उपाय आहे का त्याशिवाय न्याय मिळणार नाही का???,-1,Anger,Is protesting the only solution? Can't justice be achieved otherwise?,The rhetorical question implies anger and dissatisfaction with the system.
असे तर फक्त आई वडीलच असतात! अशी अपेक्षा इतर कुणाही कडून फार दुःख देते!,-1,Sadness,Only parents act this way! Expecting it from others is very painful!,"The phrase ""फार दुःख देते"" (very painful) directly expresses sadness and disappointment."
आणि नंतर पश्चाताप देखील करतात.. इतकी कशी ही अर्धवट म्हणून!!,-1,Disgust,And then they regret it later… How can someone be so half-hearted?,"The term ""अर्धवट"" (half-hearted) conveys frustration and disgust."
