Text,Sentiment,Emotions,translated_text,Justification
होता होता राहीलेला निवडणूक मारो मर्ज़ीभई,0,Neutral,"The election that was held was a draw, Marjibhai.",The sentence is neutral as it discusses elections but lacks any strong emotional words.
खरा लखोबा तर हा बोबडाच आहे,0,Neutral,The real Lakhoba is this Bobada.,"The word ""बोबडाच"" (stammering) suggests mild criticism but does not strongly indicate a specific emotion."
मुंबईतील घाटकोपरमध्ये धुळवड खेळून घरी परतलेलं दाम्पत्य बाथरुममध्ये मृतावस्थेत आढळलं!,-1,Disgust,"A couple who returned home after playing Dhulwad in Ghatkopar, Mumbai, was found dead in the bathroom!","The words ""मृतावस्थेत"" (dead) and ""बाथरुममध्ये"" (in the bathroom) create a disturbing and unpleasant image, leading to disgust."
कुर्ला वाहतुक विभागाला फक्त हे पाठवले जाते पण कधी कारवाई होत नाही,0,Neutral,Only this is sent to Kurla Transport Department but no action is ever taken.,The sentence talks about inaction but does not express strong emotions explicitly.
चित्रा ताई वाघ आणि आपण शिंदे गट काडीचीही किंमत नाही ट्विट ला,0,Neutral,"Chitra Tai Wagh and we Shinde group are not worth even a penny, tweet.","The phrase ""काडीचीही किंमत नाही"" (not worth even a penny) is dismissive but not highly emotional."
एकवेळ मला काही देउ नका । पण शानपट्टी देऊन मला जाऊ नका ॥,-1,Anger,Don't give me anything at once. But don't leave me without giving me a reward.,"The phrase ""शानपट्टी देऊन मला जाऊ नका"" (don’t let me go without dignity) expresses frustration, leading to anger."
आता हे वसुली करणारे वित्तमंत्र्यांना फायनांस विषयात बोलणार….कमाल आहे बुवा तुमची!,1,Joy,Now these collectors will talk to the Finance Minister about finance...you are amazing!,"The phrase ""कमाल आहे बुवा तुमची!"" (Amazing, you guys!) suggests sarcasm, but it can be interpreted as joyful mockery."
म्हणून सांगतो पाव खा पण भाव खाऊ नका...,0,Neutral,That's why I say eat bread but don't eat the price...,"The phrase ""भाव खाऊ नका"" (don't show off) is advisory and does not indicate strong emotion."
तुझी तेवढी तरी लायकी आहे का भात्या,-1,Surprise,"Are you even worth that much, Bhatia?","The phrase ""लायकी आहे का?"" (Are you even capable?) questions someone’s worth, which can evoke surprise."
"अक्कल नको पाजळू तुझी, हिंदू सणं डोळ्यात खूपतात का तुझ्या ?",-1,Anger,"Don't let your common sense fool you, do Hindu festivals get in your eyes?","The phrase ""डोळ्यात खूपतात"" (does it hurt your eyes?) suggests frustration, leading to anger."
नाटक करूनही सहानुभूती नाही मिळणार,0,Neutral,"Even if you act, you won't get sympathy.","The phrase ""सहानुभूती नाही मिळणार"" (won't get sympathy) is dismissive but lacks emotion."
आंदोलन करणे हाच उपाय आहे का त्याशिवाय न्याय मिळणार नाही का???,-1,Anger,Is protesting the only solution? Can't justice be achieved otherwise?,The rhetorical question implies anger and dissatisfaction with the system.
हा जो शिवसेनेच्या विरोधात खेळ खेळत आहात याचा परिणाम भोगावे लागणार आहेत,-1,Anger,The game you are playing against Shiv Sena will have consequences.,"The phrase ""परिणाम भोगावे लागणार आहेत"" (will face consequences) is a warning, indicating anger."
असे तर फक्त आई वडीलच असतात! अशी अपेक्षा इतर कुणाही कडून फार दुःख देते!,-1,Sadness,Only parents act this way! Expecting it from others is very painful!,"The phrase ""फार दुःख देते"" (very painful) directly expresses sadness and disappointment."
आणि नंतर पश्चाताप देखील करतात.. इतकी कशी ही अर्धवट म्हणून!!,-1,Disgust,And then they regret it later… How can someone be so half-hearted?,"The term ""अर्धवट"" (half-hearted) conveys frustration and disgust."
खरच हा पक्षच धर्मद्रोही आहे .,-1,Disgust,This party is truly anti-religious.,"The term ""धर्मद्रोही"" (anti-religious) has a strong negative connotation, showing disgust."
या चोंग्याला बाळासाहेब आणि त्यांचे नेमके विचार माहित आहेत का ??,-1,Anger,Does this idiot even know Balasaheb’s exact thoughts?,"The word ""चोंग्या"" (idiot) is an insult, and the questioning tone conveys anger."
"नामर्द बोलतो आहेस, स्वतः कडे बोट आहेत ते बघा",-1,Disgust,"You are speaking like a coward, look at yourself first.","The word ""नामर्द"" (coward) is an insult, making this disgust-driven."
फैजाबाद ही निर्लज्ज पणाचा कळस आहे... असुरी प्रवृत्ती आहे ती,-1,Disgust,Faizabad is the peak of shamelessness… It is a demonic tendency.,"The words ""निर्लज्ज पणाचा कळस"" (peak of shamelessness) and ""असुरी प्रवृत्ती"" (demonic tendency) strongly indicate disgust."
